tv_ticker,exchange,local_symbol,vendor_symbol,mcap_band,mcap_decile_file,us_listed,symbol_needs_manual_map
NSE:PERSISTENT,NSE,PERSISTENT,PERSISTENT.NS,$13B-7B,3,N,N
NASDAQ:ABVX,NASDAQ,ABVX,ABVX,$13B-7B,3,Y,N
NYSE:MSGS,NYSE,MSGS,MSGS,$13B-7B,3,Y,N
SSE:600600,SSE,600600,600600.SS,$13B-7B,3,N,N
NYSE:FPS,NYSE,FPS,FPS,$13B-7B,3,Y,N
NYSE:YMM,NYSE,YMM,YMM,$13B-7B,3,Y,N
NSE:ICICIGI,NSE,ICICIGI,ICICIGI.NS,$13B-7B,3,N,N
NYSE:VMI,NYSE,VMI,VMI,$13B-7B,3,Y,N
TWSE:3034,TWSE,3034,3034.TW,$13B-7B,3,N,N
SZSE:300757,SZSE,300757,300757.SZ,$13B-7B,3,N,N
NASDAQ:COLB,NASDAQ,COLB,COLB,$13B-7B,3,Y,N
OMXSTO:INDT,OMXSTO,INDT,INDT.ST,$13B-7B,3,N,N
SSE:600023,SSE,600023,600023.SS,$13B-7B,3,N,N
XETR:HLE,XETR,HLE,HLE.DE,$13B-7B,3,N,N
NYSE:GGB,NYSE,GGB,GGB,$13B-7B,3,Y,N
EURONEXT:SW,EURONEXT,SW,,$13B-7B,3,N,Y
SZSE:002179,SZSE,002179,002179.SZ,$13B-7B,3,N,N
NYSE:UHS,NYSE,UHS,UHS,$13B-7B,3,Y,N
HKEX:3618,HKEX,3618,3618.HK,$13B-7B,3,N,N
ASX:BSL,ASX,BSL,BSL.AX,$13B-7B,3,N,N
SZSE:002709,SZSE,002709,002709.SZ,$13B-7B,3,N,N
NYSE:NNN,NYSE,NNN,NNN,$13B-7B,3,Y,N
TSE:6841,TSE,6841,6841.T,$13B-7B,3,N,N
NYSE:OSK,NYSE,OSK,OSK,$13B-7B,3,Y,N
TSE:6586,TSE,6586,6586.T,$13B-7B,3,N,N
NYSE:LTH,NYSE,LTH,LTH,$13B-7B,3,Y,N
HKEX:991,HKEX,991,0991.HK,$13B-7B,3,N,N
NSE:WAAREEENER,NSE,WAAREEENER,WAAREEENER.NS,$13B-7B,3,N,N
TSE:1944,TSE,1944,1944.T,$13B-7B,3,N,N
NASDAQ:HALO,NASDAQ,HALO,HALO,$13B-7B,3,Y,N
NYSE:CUBE,NYSE,CUBE,CUBE,$13B-7B,3,Y,N
ASX:MPL,ASX,MPL,MPL.AX,$13B-7B,3,N,N
SZSE:002409,SZSE,002409,002409.SZ,$13B-7B,3,N,N
OMXHEX:STERV,OMXHEX,STERV,STERV.HE,$13B-7B,3,N,N
NSE:NAUKRI,NSE,NAUKRI,NAUKRI.NS,$13B-7B,3,N,N
OMXSTO:ADDT_B,OMXSTO,ADDT_B,ADDT_B.ST,$13B-7B,3,N,N
NSE:NTPCGREEN,NSE,NTPCGREEN,NTPCGREEN.NS,$13B-7B,3,N,N
SZSE:300054,SZSE,300054,300054.SZ,$13B-7B,3,N,N
NYSE:AMG,NYSE,AMG,AMG,$13B-7B,3,Y,N
HKEX:2319,HKEX,2319,2319.HK,$13B-7B,3,N,N
NASDAQ:LLYVK,NASDAQ,LLYVK,LLYVK,$13B-7B,3,Y,N
NSE:LTF,NSE,LTF,LTF.NS,$13B-7B,3,N,N
NASDAQ:FCFS,NASDAQ,FCFS,FCFS,$13B-7B,3,Y,N
EURONEXT:CTPNV,EURONEXT,CTPNV,,$13B-7B,3,N,Y
OSL:AKER,OSL,AKER,AKER.OL,$13B-7B,3,N,N
TSE:7550,TSE,7550,7550.T,$13B-7B,3,N,N
NASDAQ:BRKR,NASDAQ,BRKR,BRKR,$13B-7B,3,Y,N
