vendor_symbol,company_name,sector,industry,country,shares_outstanding,source
MLYS,"Mineralys Therapeutics, Inc.",Healthcare,Biotechnology,United States,88158479.0,yfinance
MMA,Mixed Martial Arts Group Limited,Consumer Cyclical,Leisure,Australia,26483541.0,yfinance
MMED,"MiniMed Group, Inc.",Healthcare,Medical Instruments & Supplies,United States,280842845.0,yfinance
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,United States,,yfinance
MMM,3M Company,Industrials,Conglomerates,United States,515722417.0,yfinance
MMS,"Maximus, Inc.",Industrials,Specialty Business Services,United States,,yfinance
MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,United States,59710420.0,yfinance
MMYT,MakeMyTrip Limited,Consumer Cyclical,Travel Services,India,88762972.0,yfinance
MNDO,MIND C.T.I. Ltd,Technology,Software - Application,Israel,20185166.0,yfinance
MNDR,Mobile-health Network Solutions,Healthcare,Health Information Services,Singapore,888592.0,yfinance
MNDY,monday.com Ltd.,Technology,Software - Application,Israel,42274119.0,yfinance
MNKD,MannKind Corporation,Healthcare,Biotechnology,United States,308950166.0,yfinance
MNOV,"MediciNova, Inc.",Healthcare,Biotechnology,United States,49221246.0,yfinance
MNPR,Monopar Therapeutics Inc.,Healthcare,Biotechnology,United States,6699062.0,yfinance
MNRO,"Monro, Inc.",Consumer Cyclical,Auto Parts,United States,31264060.0,yfinance
MNSB,"MainStreet Bancshares, Inc.",Financial Services,Banks - Regional,United States,7117438.0,yfinance
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,United States,978008110.0,yfinance
MNTK,"Montauk Renewables, Inc.",Basic Materials,Specialty Chemicals,United States,142341139.0,yfinance
MNTN,"MNTN, Inc.",Technology,Software - Application,United States,61013456.0,yfinance
MNTS,Momentus Inc.,Industrials,Aerospace & Defense,United States,18835815.0,yfinance
MNY,MoneyHero Limited,Communication Services,Internet Content & Information,Singapore,30827897.0,yfinance
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,United States,1669743926.0,yfinance
MOB,Mobilicom Limited,Industrials,Aerospace & Defense,Israel,12633371.0,yfinance
MOBX,"Mobix Labs, Inc.",Technology,Semiconductors,United States,14998187.0,yfinance
MOD,Modine Manufacturing Company,Consumer Cyclical,Auto Parts,United States,53112708.0,yfinance
MODD,"Modular Medical, Inc.",Healthcare,Medical Devices,United States,5413160.0,yfinance
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,United States,28439084.0,yfinance
MOG-B,Moog Inc.,Industrials,Aerospace & Defense,United States,3243472.0,yfinance
MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,United States,52200000.0,yfinance
MORN,"Morningstar, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,37513571.0,yfinance
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,United States,317846644.0,yfinance
